4,"a"
5,"b"
6,"c"
7,"d"
8,"e"
9,"f"
10,"g"
11,"h"
12,"i"
13,"j"
14,"k"
15,"l"
16,"m"
17,"n"
18,"o"
19,"p"
20,"q"
21,"r"
22,"s"
23,"t"
24,"u"
25,"v"
26,"w"
27,"x"
28,"y"
29,"z"
30,"1"
31,"2"
32,"3"
33,"4"
34,"5"
35,"6"
36,"7"
37,"8"
38,"9"
39,"0"
40,"return"
41,"escape"
42,"backspace"
43,"tab"
44,"space"
45,"-"
46,"="
47,"["
48,"]"
49,"\"
50,"#"
51,";"
52,"'"
53,"`"
54,","
55,"."
56,"/"
57,"capslock"
58,"f1"
59,"f2"
60,"f3"
61,"f4"
62,"f5"
63,"f6"
64,"f7"
65,"f8"
66,"f9"
67,"f10"
68,"f11"
69,"f12"
70,"printscreen"
71,"scrolllock"
72,"pause"
73,"insert"
74,"home"
75,"pageup"
76,"delete"
77,"end"
78,"pagedown"
79,"right"
80,"left"
81,"down"
82,"up"
83,"numlock"
84,"keypad_/"
85,"keypad_*"
86,"keypad_-"
87,"keypad_+"
88,"keypad_enter"
89,"keypad_1"
90,"keypad_2"
91,"keypad_3"
92,"keypad_4"
93,"keypad_5"
94,"keypad_6"
95,"keypad_7"
96,"keypad_8"
97,"keypad_9"
98,"keypad_0"
99,"keypad_."
101,"menu"
102,"power"
103,"keypad_="
104,"f13"
105,"f14"
106,"f15"
107,"f16"
108,"f17"
109,"f18"
110,"f19"
111,"f20"
112,"f21"
113,"f22"
114,"f23"
115,"f24"
116,"execute"
117,"help"
118,"menu"
119,"select"
120,"stop"
121,"again"
122,"undo"
123,"cut"
124,"copy"
125,"paste"
126,"find"
127,"mute"
128,"volumeup"
129,"volumedown"
133,"keypad_,"
134,"keypad_=_(as400"
153,"alterase"
154,"sysreq"
155,"cancel"
156,"clear"
157,"prior"
158,"return2"
159,"separator"
160,"out"
161,"oper"
162,"clear_/_again"
163,"crsel"
164,"exsel"
176,"keypad_00"
177,"keypad_000"
178,"thousandssepara"
179,"decimalseparato"
180,"currencyunit"
181,"currencysubunit"
182,"keypad_("
183,"keypad_)"
184,"keypad_{"
185,"keypad_}"
186,"keypad_tab"
187,"keypad_backspac"
188,"keypad_a"
189,"keypad_b"
190,"keypad_c"
191,"keypad_d"
192,"keypad_e"
193,"keypad_f"
194,"keypad_xor"
195,"keypad_^"
196,"keypad_%"
197,"keypad_<"
198,"keypad_>"
199,"keypad_&"
200,"keypad_&&"
201,"keypad_|"
202,"keypad_||"
203,"keypad_:"
204,"keypad_#"
205,"keypad_space"
206,"keypad_@"
207,"keypad_!"
208,"keypad_memstore"
209,"keypad_memrecal"
210,"keypad_memclear"
211,"keypad_memadd"
212,"keypad_memsubtr"
213,"keypad_memmulti"
214,"keypad_memdivid"
215,"keypad_+/-"
216,"keypad_clear"
217,"keypad_clearent"
218,"keypad_binary"
219,"keypad_octal"
220,"keypad_decimal"
221,"keypad_hexadeci"
224,"left_ctrl"
225,"left_shift"
226,"left_alt"
227,"left_gui"
228,"right_ctrl"
229,"right_shift"
230,"right_alt"
231,"right_gui"
257,"modeswitch"
258,"audionext"
259,"audioprev"
260,"audiostop"
261,"audioplay"
262,"audiomute"
263,"mediaselect"
264,"www"
265,"mail"
266,"calculator"
267,"computer"
268,"ac_search"
269,"ac_home"
270,"ac_back"
271,"ac_forward"
272,"ac_stop"
273,"ac_refresh"
274,"ac_bookmarks"
275,"brightnessdown"
276,"brightnessup"
277,"displayswitch"
278,"kbdillumtoggle"
279,"kbdillumdown"
280,"kbdillumup"
281,"eject"
282,"sleep"
283,"app1"
284,"app2"
285,"audiorewind"
286,"audiofastforwar"
